1,a,a,"1. Of, acquired by. This a forms part of the possessives, as in ka'u, mine, and kāna, his.

2. Abbreviation of ʻākau, north, as in surveying reports.",1
2,-a,a,Pas/imp. suffix.,1
3,ā,ā,"1. . Jaw, cheekbone. Fig., to talk a lot, jabber, jibber jabber.

2. An instrument made of smooth bone, formerly used for abortion, lancing, or bleeding. Also āʻōʻō, piercing ā.

3. Mold found in souring foods, especially poi, generally known as Oidium lactis or Oospora lactis, but now called Geotrichum candidum.

4. When, at the time when, until, to, as far as, and, or (rare), and then, but (usually preceding verbs, whereas a me usually precedes nouns; ā may also connect words translated by English adjectives, as he po'e kuli ā ʻāʻā, a people deaf and dumb; nani ā pumehana kēia kakahiaka, this morning is beautiful and warm).",1
4,-ā,ā,"1. Pejorative suffix, often written wā after o or u. See ʻaiā, haiā, hainā, huā (huwā), kauā (kauwā), lonoā, (lonowā), makoeā, naʻauʻauā (naʻauʻauwā), poluā (poluwā),

2. Personal article occurring only after the preposition i, written ia.a.)",1
5,-ā,ā,"Simulative ligature in the sequence ‘verb + noun’ compounds. See ʻai ā manō, holoāiʻa.",1
6,ʻa-,ʻa,"1. Prefix to numbers from one through nine, especially for counting in series. See ʻalua, ʻakolu, Pōʻahā. (PNP kaa-.)

2. Same as ʻā-.",1
7,ʻā,ʻā,"1. Fiery, burning; fire; to burn, blaze. Fig., to glitter or sparkle, as a gem; to burn, as with jealousy or anger.

2. Aa lava, or lava rock, as distinguished from smooth unbroken pāhoehoe lava (formerly preceded by ke); to flow, as aa lava.

3. Same as ʻaʻa 1, to dare.

4. Red-footed booby bird (Sula sula rubripes), brown booby (Sula leucogaster plotus), masked or blue-faced booby (Sula dactylatra personata); all indigenous and also breeding elsewhere. Also ʻaʻa. Legendary birds believed to have taken the shape of this bird are ʻā ʻaia, ʻā-ʻai-ʻanuhe-a-Kāne and ʻā-ʻaia-nui-nū-keu; ʻā by some were considered ʻaumākua. See also Kep. 33.

5. Young stage of damselfish (ʻāloʻiloʻi). Also ʻaʻā.

6. Oh! Well! Ah! Er … (PNP kaa.)

7. To drive, as fish or cattle.

8. The letter “a.” Eng.",1
8,ʻā-,ʻā,"In the nature of (as hina, white, ʻāhina, somewhat white, gray; pali, cliff, ʻāpali, like a cliff). There are many examples, as ʻālewalewa, ʻālualua, ʻāmokumoku, ʻāoʻo, ʻāpono, ʻāwela. (PNP kaa-.)",1
9,aʻa,aʻa,"1. Small root, rootlet, vein, artery, nerve, tendon, muscle. Fig., womb, offspring. See ex., cerebral hemorrhage.

2. To send greetings or love; joyous hospitality; joy at greeting a loved one. Cf. haaʻa.",1
10,ʻaʻa,ʻaʻa,"1. To brave, dare, challenge, defy (1 Sam. 17.10), check, venture; to accept a challenge; to volunteer, involving a difficulty; to act wickedly or presumptuously (Kanl. 1.43); bold, venturesome, valiant, intrepid. See ex., mea 1.

2. Belt, girdle, waist; to gird, tie on.

3. Bag, pocket, caul, envelope for a foetus, scrip (1 Sam. 17.40); fiber from coconut husk; clothlike sheath at base of coconut frond; cloth; chaff, hull (Ier. 23.28); skin covering eyeballs. See ʻaʻa moni.

4. Same as Maʻaʻa, a wind.

5. Same as ʻā 4, booby bird.",1
